ID,Summary,LeftSideDeficit,Anisometropia,Vertigo,BinocularVision,Impact,Danger,DangerRanking,UnpredictableHazards,RapidVisualMotorNeed,CompoundingDeficits,HighStakes,NoRoomForError,EssentialActivities,EnvironmentalComplexity,HeightenedCognitiveLoad,InsufficientSubstitution,SocialMisunderstanding,drv
42,"Group Conversations","Speakers on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor spatial judgment of speaker positions","Disorienting; requires slow responses","Tripping or bumping while distracted, minor injuries",3,Y,N,Y,N,N,P,Y,Y,Y,Y,N
43,"Social Interactions (General)","Facial cues on left missed","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor judgment of personal space","Challenging; requires conscious effort","Misjudging proximity, minor collisions or conflict",3,P,N,Y,N,N,Y,Y,Y,Y,Y,Y
44,"Startle Response","Objects/people on left unseen","No left-eye input, intensifies startle","Reflexive head turns trigger dizziness","Poor spatial judgment post-startle","Increases anxiety; requires vigilance","Stumbling or falling, bruises or fractures",4,Y,Y,Y,P,P,Y,Y,Y,Y,P,N
45,"Shopping / Navigating Crowded Spaces","Items/people on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor spatial judgment in tight spaces","Challenging; requires assistance or avoidance","Colliding with displays/people, bruises or falls",5,Y,Y,Y,P,P,Y,Y,Y,Y,P,Y
46,"Public Transportation","Vehicles/people on left unseen","No left-eye input, monocular reliance","Head tilts trigger dizziness","Poor depth perception of gaps/seats","Risky; requires assistance or caution","Falling into gaps or colliding, sprains or fractures",6,Y,Y,Y,P,Y,Y,Y,Y,Y,P,N
47,"Attending Live Events (Concerts, Sports)","Action/exits on left unseen","No left-eye input, visual strain","Head turns trigger dizziness","Poor spatial judgment in crowds","Fatiguing and disorienting; requires assistance","Falling or being trampled, serious injury",6,Y,P,Y,P,P,N,Y,Y,Y,P,N
48,"Attending a Concert with Strobe Lights","Crowd/exits on left unseen","No left-eye input, disorientation","Strobe lights trigger dizziness","Poor spatial judgment in crowds","Highly risky; requires assistance or avoidance","Falling or being trampled, serious injury",7,Y,P,Y,Y,Y,N,Y,Y,Y,P,N
49,"Walking Near a Construction Site","Debris/equipment on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor spatial judgment of obstacles","Highly risky; requires avoidance or assistance","Being struck by debris or tripping, severe injury",8,Y,Y,Y,Y,Y,P,Y,Y,Y,N,N
50,"Crossing Railroad Tracks","Trains on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor depth perception of train speed","Nearly impossible; requires avoidance","Being struck by a train, fatality",10,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N
51,"Running to Catch a Bus","Obstacles/traffic on left unseen","No left-eye input, monocular reliance","Head movements trigger dizziness","Poor depth perception of obstacles","Highly dangerous; requires avoidance","Tripping or being struck by traffic, severe injury",8,Y,Y,Y,Y,Y,P,Y,Y,Y,N,N
52,"Personal Grooming","Left face/hand unseen","No left-eye input, monocular reliance","Head tilts trigger dizziness","Poor depth perception of tools","Risky; requires slow movements or assistance","Cuts or nicks from razors/clippers, minor bleeding or infection",3,N,Y,Y,N,P,Y,N,Y,Y,N,N
53,"Fine Motor Skill Tasks (General)","Work area on left unseen","No left-eye input, monocular reliance","Head tilts trigger dizziness","Poor depth perception of precision","Extremely challenging; often avoided","Punctures or cuts (e.g., needles), minor injuries",3,N,Y,Y,N,P,N,N,Y,Y,N,N
54,"Activities Requiring Fine Depth Perception","Objects on left unseen","No left-eye input, monocular reliance","Head movements trigger dizziness","Poor depth perception of distances","Extremely challenging; often avoided","Dropping objects or misjudging catches, minor injuries",3,P,Y,Y,N,P,N,P,Y,Y,P,N
55,"Navigating Intersections (Pedestrian Indoor)","Shoppers/carts on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor spatial judgment of moving objects","Challenging; requires slow movement","Colliding with carts/people, bruises or falls",4,Y,P,Y,N,P,P,Y,Y,Y,P,N
56,"Navigating Doorways & Corners","Door frames/corners on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor depth perception of edges","Frequent minor collisions; requires caution","Bumping into frames/corners, bruises or cuts",3,N,P,Y,N,P,Y,P,P,Y,N,N
57,"Navigating Stairs","Step edges on left unseen","No left-eye input, monocular reliance","Head tilts trigger dizziness","Poor depth perception of step height","Highly risky; requires slow movement or assistance","Falling down stairs, fractures or head trauma",7,N,Y,Y,Y,Y,Y,P,Y,Y,N,N
58,"Walking with Pets","Pet movements on left unseen","No left-eye input, monocular reliance","Head turns trigger dizziness","Poor spatial judgment of pet’s path","Risky; requires a well-trained pet or assistance","Tripping over pet/leash, falls or fractures",5,Y,Y,Y,P,P,P,P,Y,Y,N,Y
59,"General Walking / Balance","Obstacles on left unseen","No left-eye input, monocular reliance","Visual mismatch triggers dizziness","Poor depth perception of surfaces","Feels unstable; requires vigilance","Tripping or falling, bruises or fractures",5,P,Y,Y,P,P,Y,P,Y,Y,P,N
60,"Reviewing Security Logs – Memory Lapse","Log alerts on left screen unseen","No left-eye input, visual strain","Head tilts trigger dizziness","Poor depth perception of screen","Forgets steps mid-task, increasing errors","Missed threats, risking breaches",4,N,Y,Y,P,P,P,N,Y,Y,N,Y
61,"Walking Dog at Night – Disorientation","Obstacles on left unseen in dark","No left-eye input, blind spot","Head turns trigger dizziness","Poor depth perception of paths","Gets lost, avoids night outings","Falling or getting lost, minor injuries",5,Y,Y,Y,P,P,P,Y,Y,Y,N,Y
62,"Taking Medication – Missed Dose","Label text on left unseen","No left-eye input, misreads","Head tilts trigger dizziness","Poor depth perception of bottle","Misses doses, health risks","Worsened condition, hospitalization",6,N,P,Y,Y,Y,Y,N,Y,Y,P,Y
63,"IT Security Meeting – Cognitive Overload","Speakers on left unseen","No left-eye input, strain","Head turns trigger dizziness","Poor spatial judgment","Overwhelmed, emotional distress","Job errors or loss, minor injuries",4,P,P,Y,P,P,P,Y,Y,Y,Y,Y
64,"Explaining IT Security Issue – Breakdown","Audience on left unseen","No left-eye input, strain","Head turns trigger dizziness","Poor spatial judgment","Freezes, avoids communication","Job errors, minor injuries",3,N,P,Y,P,P,P,Y,Y,Y,Y,Y
65,"Interacting with Pet Dog – Mixed Signals","Dog on left unseen","No left-eye input, misjudges","Head tilts trigger dizziness","Poor spatial cues","Confuses dog, weakens bond","Emotional distress, minor injuries",4,P,P,Y,P,P,P,P,Y,Y,Y,Y
66,"Workplace Stress – Neurological Blackout","Stressors on left unseen","No left-eye input, strain","Stress triggers dizziness","Poor spatial awareness","Freezes, loses job","Job loss, minor injuries",5,P,P,Y,P,P,P,Y,Y,Y,Y,Y
